,BHK,Rent,Size,City,Bathroom
12,1,8000.0,350.0,Bangalore,1.0
14,3,50000.0,2000.0,Bangalore,3.0
15,2,13000.0,700.0,Bangalore,2.0
16,1,13500.0,600.0,Bangalore,1.0
17,2,13000.0,700.0,Bangalore,1.0
18,1,15000.0,600.0,Bangalore,1.0
21,2,25000.0,770.0,Bangalore,2.0
22,2,17000.0,900.0,Bangalore,2.0
27,3,54000.0,1750.0,Bangalore,3.0
28,1,14500.0,600.0,Bangalore,1.0
32,2,16000.0,600.0,Bangalore,2.0
36,3,28000.0,1021.0,Bangalore,3.0
39,2,50000.0,1280.0,Bangalore,2.0
41,2,30000.0,450.0,Bangalore,2.0
43,2,15000.0,800.0,Bangalore,2.0
45,3,45000.0,1680.0,Bangalore,3.0
46,3,65000.0,2000.0,Bangalore,3.0
47,1,12000.0,500.0,Bangalore,1.0
50,2,23000.0,1100.0,Bangalore,2.0
51,2,30000.0,1200.0,Bangalore,2.0
55,2,20000.0,1040.0,Bangalore,2.0
56,4,110000.0,2900.0,Bangalore,4.0
57,3,30000.0,1200.0,Bangalore,2.0
65,1,8000.0,300.0,Bangalore,1.0
67,1,12000.0,450.0,Bangalore,1.0
70,1,11000.0,400.0,Bangalore,1.0
72,2,20000.0,1105.0,Bangalore,2.0
77,1,9000.0,400.0,Bangalore,1.0
78,4,180000.0,2800.0,Bangalore,4.0
80,3,32000.0,1300.0,Bangalore,2.0
84,2,15000.0,750.0,Bangalore,2.0
87,2,19000.0,1000.0,Bangalore,2.0
88,2,27000.0,1000.0,Bangalore,2.0
89,3,48000.0,2000.0,Bangalore,3.0
93,1,7000.0,100.0,Bangalore,1.0
96,2,35000.0,1200.0,Bangalore,2.0
97,2,16000.0,850.0,Bangalore,2.0
98,2,16000.0,600.0,Bangalore,1.0
103,3,55000.0,1603.0,Bangalore,3.0
105,1,12000.0,420.0,Bangalore,1.0
107,3,37000.0,1200.0,Bangalore,3.0
108,1,17000.0,610.0,Bangalore,1.0
112,2,13500.0,700.0,Bangalore,2.0
125,2,22000.0,1000.0,Bangalore,2.0
126,1,13000.0,450.0,Bangalore,1.0
127,3,20000.0,773.0,Bangalore,2.0
129,1,8000.0,150.0,Bangalore,1.0
131,1,20000.0,600.0,Bangalore,1.0
132,2,20000.0,800.0,Bangalore,1.0
133,1,8000.0,200.0,Bangalore,1.0
147,2,22000.0,1100.0,Bangalore,2.0
149,2,32900.0,1200.0,Bangalore,1.0
150,2,15000.0,800.0,Bangalore,1.0
151,2,10000.0,535.0,Bangalore,1.0
155,2,14000.0,700.0,Bangalore,1.0
156,1,14500.0,550.0,Bangalore,1.0
157,2,13000.0,600.0,Bangalore,2.0
160,2,20000.0,1100.0,Bangalore,3.0
165,1,11500.0,550.0,Bangalore,1.0
167,2,12000.0,600.0,Bangalore,2.0
171,2,25000.0,1050.0,Bangalore,2.0
172,3,150000.0,3250.0,Bangalore,4.0
174,2,40000.0,1300.0,Bangalore,2.0
175,2,12000.0,600.0,Bangalore,1.0
177,2,23000.0,1100.0,Bangalore,2.0
178,2,25000.0,1100.0,Bangalore,2.0
181,1,10000.0,415.0,Bangalore,1.0
182,3,39000.0,1200.0,Bangalore,3.0
187,1,10000.0,450.0,Bangalore,1.0
188,1,15000.0,600.0,Bangalore,1.0
190,3,56000.0,1900.0,Bangalore,3.0
191,3,43000.0,1700.0,Bangalore,3.0
192,2,25000.0,1100.0,Bangalore,2.0
198,1,20000.0,800.0,Bangalore,1.0
202,2,20000.0,980.0,Bangalore,2.0
208,2,20000.0,1100.0,Bangalore,2.0
209,2,21000.0,1100.0,Bangalore,2.0
210,2,15000.0,700.0,Bangalore,2.0
212,1,7000.0,250.0,Bangalore,1.0
218,1,7000.0,200.0,Bangalore,1.0
220,2,23000.0,600.0,Bangalore,2.0
225,2,12500.0,500.0,Bangalore,2.0
231,3,45000.0,1600.0,Bangalore,3.0
234,2,20000.0,900.0,Bangalore,2.0
236,3,55000.0,1800.0,Bangalore,3.0
238,1,8500.0,350.0,Bangalore,1.0
240,2,12000.0,500.0,Bangalore,1.0
247,1,7000.0,300.0,Bangalore,1.0
248,2,27500.0,1130.0,Bangalore,2.0
253,1,11000.0,300.0,Bangalore,1.0
259,1,15000.0,600.0,Bangalore,1.0
260,1,3500.0,150.0,Bangalore,1.0
267,1,20000.0,550.0,Bangalore,1.0
269,2,20000.0,1050.0,Bangalore,2.0
270,2,15000.0,800.0,Bangalore,2.0
271,2,20000.0,1100.0,Bangalore,2.0
274,2,17000.0,800.0,Bangalore,1.0
280,2,20000.0,1100.0,Bangalore,2.0
282,3,120000.0,3276.0,Bangalore,3.0
288,1,18000.0,400.0,Bangalore,1.0
289,2,30000.0,1296.0,Bangalore,2.0
290,2,20000.0,1000.0,Bangalore,2.0
291,1,16500.0,600.0,Bangalore,1.0
292,1,15000.0,600.0,Bangalore,1.0
295,1,22000.0,455.0,Bangalore,1.0
297,2,23000.0,1066.0,Bangalore,2.0
299,3,60000.0,1550.0,Bangalore,3.0
302,1,11000.0,450.0,Bangalore,1.0
305,3,55000.0,2150.0,Bangalore,3.0
307,3,50000.0,1450.0,Bangalore,3.0
308,2,13500.0,700.0,Bangalore,2.0
310,3,120000.0,2110.0,Bangalore,3.0
314,1,18000.0,800.0,Bangalore,1.0
317,3,60000.0,2080.0,Bangalore,3.0
318,2,12500.0,650.0,Bangalore,1.0
320,2,30000.0,1025.0,Bangalore,2.0
322,1,8000.0,350.0,Bangalore,1.0
324,2,13000.0,600.0,Bangalore,1.0
326,2,17000.0,700.0,Bangalore,2.0
334,2,24000.0,1105.0,Bangalore,2.0
339,2,27000.0,1200.0,Bangalore,2.0
340,2,17000.0,900.0,Bangalore,2.0
341,3,50000.0,1250.0,Bangalore,3.0
346,2,15000.0,750.0,Bangalore,2.0
348,2,8500.0,440.0,Bangalore,2.0
353,3,120000.0,2770.0,Bangalore,3.0
354,2,15000.0,800.0,Bangalore,1.0
356,1,5000.0,144.0,Bangalore,1.0
357,1,18000.0,600.0,Bangalore,1.0
359,2,21000.0,1005.0,Bangalore,3.0
367,2,18000.0,600.0,Bangalore,2.0
369,2,38000.0,1274.0,Bangalore,2.0
370,2,36000.0,1200.0,Bangalore,2.0
377,3,75000.0,1850.0,Bangalore,3.0
378,2,25000.0,900.0,Bangalore,2.0
379,2,20000.0,1050.0,Bangalore,2.0
380,2,11000.0,600.0,Bangalore,2.0
381,3,65000.0,1480.0,Bangalore,2.0
383,4,160000.0,4500.0,Bangalore,4.0
385,2,20000.0,1100.0,Bangalore,2.0
388,2,9300.0,500.0,Bangalore,1.0
390,2,13000.0,650.0,Bangalore,1.0
391,1,7000.0,300.0,Bangalore,1.0
394,1,12500.0,600.0,Bangalore,1.0
397,2,20000.0,1100.0,Bangalore,2.0
398,2,24000.0,1300.0,Bangalore,2.0
400,2,15000.0,800.0,Bangalore,2.0
403,3,35000.0,1278.0,Bangalore,2.0
410,3,31000.0,1325.0,Bangalore,2.0
415,1,22000.0,400.0,Bangalore,1.0
416,2,12000.0,600.0,Bangalore,2.0
419,2,30000.0,1100.0,Bangalore,2.0
420,2,12000.0,650.0,Bangalore,2.0
421,2,15000.0,600.0,Bangalore,2.0
423,1,22000.0,460.0,Bangalore,1.0
424,2,40000.0,1380.0,Bangalore,2.0
425,1,12000.0,500.0,Bangalore,1.0
426,2,15000.0,825.0,Bangalore,2.0
429,2,15000.0,800.0,Bangalore,2.0
433,1,10000.0,300.0,Bangalore,1.0
436,3,52000.0,1603.0,Bangalore,3.0
438,1,6500.0,200.0,Bangalore,1.0
441,1,6000.0,150.0,Bangalore,1.0
445,2,10000.0,300.0,Bangalore,2.0
446,1,15000.0,700.0,Bangalore,2.0
447,2,70000.0,1325.0,Bangalore,2.0
448,2,19000.0,894.0,Bangalore,2.0
449,2,20000.0,1100.0,Bangalore,2.0
452,2,27500.0,1000.0,Bangalore,2.0
453,2,16000.0,850.0,Bangalore,2.0
454,1,12000.0,400.0,Bangalore,1.0
455,3,75000.0,2400.0,Bangalore,4.0
459,1,13500.0,450.0,Bangalore,1.0
460,1,17000.0,430.0,Bangalore,1.0
462,1,13000.0,500.0,Bangalore,2.0
463,2,11000.0,600.0,Bangalore,1.0
464,2,16000.0,805.0,Bangalore,2.0
465,2,23500.0,950.0,Bangalore,2.0
473,2,32000.0,1000.0,Bangalore,2.0
474,2,19000.0,800.0,Bangalore,2.0
477,1,15000.0,500.0,Bangalore,1.0
481,3,43000.0,1680.0,Bangalore,3.0
482,2,30000.0,1100.0,Bangalore,2.0
483,2,50000.0,1200.0,Bangalore,1.0
490,1,15000.0,400.0,Bangalore,1.0
495,2,35000.0,800.0,Bangalore,1.0
496,2,16000.0,800.0,Bangalore,1.0
498,2,35000.0,1300.0,Bangalore,2.0
499,1,10000.0,400.0,Bangalore,1.0
504,2,25000.0,1200.0,Bangalore,2.0
507,2,22000.0,846.0,Bangalore,2.0
510,3,25000.0,900.0,Bangalore,3.0
511,1,25000.0,420.0,Bangalore,1.0
512,2,16000.0,800.0,Bangalore,2.0
513,3,60000.0,1500.0,Bangalore,3.0
515,4,250000.0,5700.0,Bangalore,4.0
516,1,19000.0,625.0,Bangalore,1.0
518,2,11000.0,600.0,Bangalore,1.0
524,2,15000.0,600.0,Bangalore,2.0
525,1,18000.0,550.0,Bangalore,1.0
526,2,22500.0,1115.0,Bangalore,2.0
527,1,9500.0,300.0,Bangalore,1.0
531,1,9000.0,400.0,Bangalore,1.0
533,1,12500.0,500.0,Bangalore,1.0
538,2,25000.0,980.0,Bangalore,2.0
539,2,13000.0,600.0,Bangalore,2.0
540,2,8000.0,200.0,Bangalore,2.0
541,3,35000.0,1300.0,Bangalore,2.0
545,4,140000.0,3100.0,Bangalore,4.0
546,2,11000.0,600.0,Bangalore,1.0
549,2,24000.0,630.0,Bangalore,2.0
551,2,10000.0,500.0,Bangalore,1.0
552,3,62000.0,1680.0,Bangalore,3.0
555,2,17500.0,900.0,Bangalore,2.0
557,1,16000.0,550.0,Bangalore,1.0
558,3,30000.0,1250.0,Bangalore,3.0
559,2,28000.0,850.0,Bangalore,2.0
560,1,6500.0,150.0,Bangalore,1.0
563,2,20000.0,750.0,Bangalore,2.0
571,1,15000.0,435.0,Bangalore,1.0
573,3,100000.0,1800.0,Bangalore,3.0
574,2,12000.0,600.0,Bangalore,1.0
580,3,42000.0,1600.0,Bangalore,3.0
584,2,14000.0,700.0,Bangalore,2.0
590,2,9500.0,200.0,Bangalore,1.0
591,2,25000.0,750.0,Bangalore,2.0
595,2,10000.0,500.0,Bangalore,1.0
598,2,24000.0,900.0,Bangalore,2.0
606,1,5000.0,150.0,Bangalore,1.0
608,1,13900.0,600.0,Bangalore,1.0
611,2,13000.0,500.0,Bangalore,1.0
613,2,25000.0,1200.0,Bangalore,1.0
615,3,39000.0,1550.0,Bangalore,3.0
617,1,15000.0,500.0,Bangalore,1.0
618,2,28000.0,1500.0,Bangalore,2.0
620,4,75000.0,2000.0,Bangalore,3.0
625,2,24000.0,990.0,Bangalore,2.0
634,2,42000.0,1150.0,Bangalore,2.0
646,2,25000.0,1350.0,Bangalore,2.0
648,4,190000.0,4000.0,Bangalore,5.0
649,2,24000.0,777.0,Bangalore,2.0
653,2,12500.0,570.0,Bangalore,2.0
658,2,34000.0,1400.0,Bangalore,2.0
660,2,14500.0,650.0,Bangalore,1.0
665,3,75000.0,2000.0,Bangalore,2.0
668,2,16000.0,650.0,Bangalore,2.0
670,2,21000.0,1100.0,Bangalore,2.0
671,3,30000.0,1300.0,Bangalore,3.0
672,3,65000.0,2000.0,Bangalore,3.0
674,2,12000.0,630.0,Bangalore,2.0
676,2,22000.0,1025.0,Bangalore,2.0
678,3,48000.0,1286.0,Bangalore,3.0
681,3,40000.0,1618.0,Bangalore,3.0
684,2,18000.0,850.0,Bangalore,2.0
688,3,50000.0,1580.0,Bangalore,3.0
691,1,16000.0,550.0,Bangalore,1.0
692,1,11000.0,450.0,Bangalore,1.0
693,4,150000.0,4550.0,Bangalore,5.0
694,1,9000.0,400.0,Bangalore,1.0
697,3,35000.0,1500.0,Bangalore,2.0
698,1,9000.0,425.0,Bangalore,1.0
699,1,8000.0,300.0,Bangalore,1.0
700,2,13500.0,650.0,Bangalore,2.0
704,2,11000.0,600.0,Bangalore,2.0
710,2,18500.0,900.0,Bangalore,2.0
711,1,4750.0,200.0,Bangalore,1.0
712,2,15000.0,700.0,Bangalore,2.0
717,2,15000.0,750.0,Bangalore,1.0
719,3,100000.0,1950.0,Bangalore,3.0
725,1,15000.0,600.0,Bangalore,1.0
727,2,14000.0,500.0,Bangalore,2.0
729,3,60000.0,1710.0,Bangalore,3.0
